Date,Price,Open,High,Low,Vol.,Change %
8/1/2022,159.93,157.25,165.19,155.23,40.60M,0.52%
8/2/2022,160.19,158.31,162.24,158.01,27.37M,0.16%
8/3/2022,168.8,162.69,169.54,161.57,31.72M,5.37%
8/4/2022,170.57,168.29,172.15,166.8,23.94M,1.05%
8/5/2022,167.11,166.99,171.61,165.8,25.83M,-2.03%
8/8/2022,170.25,168,177.51,167.13,27.30M,1.88%
8/9/2022,168.53,168.95,169.53,166.6,18.66M,-1.01%
8/10/2022,178.34,175.99,180.48,173.95,30.26M,5.82%
8/11/2022,177.49,179.71,183.1,176.37,24.08M,-0.48%
8/12/2022,180.5,180.81,181.46,178.91,21.27M,1.70%
8/15/2022,180.89,178.96,181.44,178.2,15.88M,0.22%
8/16/2022,179.47,179.44,180.99,177.04,21.16M,-0.79%
8/17/2022,174.85,176.76,178.14,174.17,20.12M,-2.57%
8/18/2022,174.66,174.34,175.76,171.86,18.84M,-0.11%
8/19/2022,167.96,170.2,172.32,167.05,26.24M,-3.84%
8/22/2022,163.05,165.49,165.49,162.26,19.50M,-2.92%
8/23/2022,161.11,162.48,165.05,160.7,18.11M,-1.19%
8/24/2022,163.26,160.6,165.46,159.77,20.89M,1.33%
8/25/2022,168.78,165.18,168.88,164.02,15.55M,3.38%
8/26/2022,161.78,168.48,170.92,161.67,24.02M,-4.15%
8/29/2022,159.17,160.65,163.05,159.01,20.05M,-1.61%
8/30/2022,157.16,160.35,161.66,155.91,19.57M,-1.26%
8/31/2022,162.93,167.07,167.84,162.14,40.95M,3.67%
9/1/2022,165.36,163.58,167.36,160.35,30.15M,1.49%
9/2/2022,160.32,167.45,167.93,159.22,22.63M,-3.05%
9/6/2022,158.54,160.1,161.69,157.69,19.34M,-1.11%
9/7/2022,160.39,157.76,160.96,156.81,16.83M,1.17%
9/8/2022,162.06,158.71,162.23,157.74,22.53M,1.04%
9/9/2022,169.15,163.25,169.54,163.02,22.13M,4.37%
9/12/2022,168.96,167.39,171.39,167.28,23.22M,-0.11%
9/13/2022,153.13,161.54,161.63,152.67,44.44M,-9.37%
9/14/2022,151.47,153.33,153.54,149.05,43.06M,-1.08%
9/15/2022,149.55,149.8,154.2,148.7,34.61M,-1.27%
9/16/2022,146.29,148.05,148.58,144.29,40.12M,-2.18%
9/19/2022,148.02,145.24,148.58,145.1,22.17M,1.18%
9/20/2022,146.09,145.77,148.84,145.22,23.22M,-1.30%
9/21/2022,142.12,146.39,149.6,142,38.34M,-2.72%
9/22/2022,142.82,141.55,144.58,140.87,34.42M,0.49%
9/23/2022,140.41,141.42,142.62,138.89,31.71M,-1.69%
9/26/2022,136.37,140.12,142.24,136.19,30.50M,-2.88%
9/27/2022,134.4,137.92,139.42,134.12,30.83M,-1.44%
9/28/2022,141.61,134.62,142.03,134.27,32.66M,5.36%
