Date,Price,Open,High,Low,Vol.,Change %
9/14/2022,105.87,105.44,106.1,104.5,22.12M,0.53%
9/15/2022,103.9,105.01,106.21,103.31,26.49M,-1.86%
9/16/2022,103.63,102.97,104.03,101.86,64.54M,-0.26%
9/19/2022,103.85,102.54,104.02,102.37,19.74M,0.21%
9/20/2022,101.83,102.88,103.17,101.12,24.00M,-1.95%
9/21/2022,100.01,102.24,103.49,99.99,26.60M,-1.79%
9/22/2022,100.57,99.45,101.68,99.41,21.27M,0.56%
9/23/2022,99.17,100.06,100.11,98.01,25.66M,-1.39%
9/26/2022,98.81,98.61,100.44,98.38,22.44M,-0.36%
9/27/2022,98.09,99.91,100.46,97.34,24.22M,-0.73%
9/28/2022,100.74,98.02,101.4,97.8,24.62M,2.70%
9/29/2022,98.09,99.3,99.3,96.52,21.92M,-2.63%
9/30/2022,96.15,97.73,99.49,96.03,26.28M,-1.98%
10/3/2022,99.3,97.22,99.97,97.02,24.84M,3.28%
10/4/2022,102.41,101.04,102.72,101.04,22.58M,3.13%
10/5/2022,102.22,100.69,102.74,99.74,18.48M,-0.19%
10/6/2022,102.24,101.5,103.73,101.5,17.16M,0.02%
10/7/2022,99.57,100.65,101.42,99.21,24.25M,-2.61%
10/10/2022,98.71,99.85,99.99,97.87,16.53M,-0.86%
10/11/2022,98.05,98.25,100.12,97.25,21.62M,-0.67%
10/12/2022,98.3,98.27,99.65,97.67,17.34M,0.25%
10/13/2022,99.71,95.93,100.53,95.27,32.81M,1.43%
10/14/2022,97.18,100.63,101.29,97.03,22.62M,-2.54%
10/17/2022,100.78,99.52,101.77,99.51,23.31M,3.70%
10/18/2022,101.39,103.94,104.22,100.65,21.61M,0.61%
10/19/2022,100.29,100.7,101.66,99.64,21.57M,-1.08%
10/20/2022,100.53,100.82,103,99.97,25.13M,0.24%
10/21/2022,101.48,98.46,101.62,98.23,28.99M,0.94%
10/24/2022,102.97,102.09,103.1,100.3,24.68M,1.47%
10/25/2022,104.93,103.3,105.1,103.02,29.91M,1.90%
10/26/2022,94.82,96.76,98.54,94.57,71.67M,-9.63%
10/27/2022,92.6,94.31,95.17,91.9,54.04M,-2.34%
10/28/2022,96.58,92.53,96.86,92.32,35.70M,4.30%
10/31/2022,94.66,95.78,96.35,94.38,29.87M,-1.99%
11/1/2022,90.5,95.59,96.17,90.43,43.22M,-4.39%
11/2/2022,87.07,90.91,91.3,87.01,43.55M,-3.79%
11/3/2022,83.49,86.35,86.55,83.45,48.51M,-4.11%
11/4/2022,86.7,85.51,86.73,83.88,40.17M,3.84%
11/7/2022,88.65,87.34,88.94,86.96,26.90M,2.25%
11/8/2022,88.91,89.16,90.4,87.65,30.17M,0.29%
11/9/2022,87.4,88.54,89.49,87.36,26.74M,-1.70%
11/10/2022,94.17,92.34,94.55,91.65,42.37M,7.75%
11/11/2022,96.73,94.71,97.36,94.16,30.57M,2.72%
11/14/2022,96.03,95.5,97.18,95.11,24.17M,-0.72%
11/15/2022,98.72,98.67,100.42,97.02,31.83M,2.80%
11/16/2022,98.99,98.02,99.85,97.9,24.66M,0.27%
11/17/2022,98.5,97.18,99.48,97.1,21.82M,-0.49%
11/18/2022,97.8,99.01,99.16,96.74,24.97M,-0.71%
11/21/2022,95.83,97.56,98.72,95.67,18.70M,-2.01%
11/22/2022,97.33,96.16,97.55,94.41,18.87M,1.57%
11/23/2022,98.82,97.34,99.07,97.34,17.57M,1.53%
11/25/2022,97.6,98.46,98.94,97.53,8.57M,-1.23%
11/28/2022,96.25,97.2,97.83,95.89,19.98M,-1.38%
11/29/2022,95.44,96,96.39,94.39,20.22M,-0.84%
11/30/2022,101.45,95.12,101.45,94.67,39.89M,6.30%
12/1/2022,101.28,101.4,102.59,100.67,21.77M,-0.17%
12/2/2022,100.83,99.37,101.15,99.17,18.82M,-0.44%
12/5/2022,99.87,99.82,101.75,99.36,19.96M,-0.95%
12/6/2022,97.31,99.67,100.21,96.76,20.88M,-2.56%
12/7/2022,95.15,96.77,97.31,95.03,26.65M,-2.22%
12/8/2022,93.95,95.69,95.87,93.8,25.59M,-1.26%
12/9/2022,93.07,93.9,94.49,93.02,21.89M,-0.94%
12/12/2022,93.56,93.09,93.87,91.9,27.38M,0.53%
